,MAKE,MODEL,TRIM_LEVEL,BODY_TYPE,FUEL_TYPE,TRANSMISSION,NUMBER_OF_DOORS,DRIVEN_WHEELS,ENGINE_SIZE,POWER_TRAIN_TYPE,BATTERY_CAPACITY_KWH,MAX_POWER_HP,MAX_POWER_KW,SECONDARY_VERSION
1925,RENAULT,MASTER,ICE,panel van,diesel,manual,4 dr,FWD,,,,,,
1926,RENAULT,MASTER,KOMFORT,panel van,DCI,manual,4 dr,FWD,2.3,,,,110KW,
1927,RENAULT,MASTER,Z.E.,panel van,electric,automatic,4 dr,FWD,,BEV,,,,
1928,RENAULT,MEGANE,BUSINESS,estate,DCI,manual,5 portes,FWD,1.5,,,,70KW,
1929,RENAULT,MEGANE,BUSINESS,hatchback,DCI,manual,5 portes,FWD,1.5,,,,85KW,
1930,RENAULT,MEGANE,DUEL,hatchback,DCI,manual,5 portes,FWD,1.5,,,,66KW,
1931,RENAULT,MEGANE,INTENS,estate,BLUE DCI,manual,5 portes,FWD,1.5,,,,85KW,
1932,RENAULT,MEGANE,LIMITED +,hatchback,TCE,manual,5 portes,FWD,1.3,,,,103KW,
1933,RENAULT,Master,,chassis cab,dCi,manual,4 dr,RWD,2.3,,,,,
1934,RENAULT,Master,,chassis cab,dCi,manual,4 dr,RWD,2.3,,,165,,
1935,RENAULT,Master,,panel van,diesel,manual,4 dr,RWD,,,,145CV,107kW,
1936,RENAULT,Master,,panel van,electric,automatic,4 dr,FWD,,BEV,,,,
1937,RENAULT,Master,,tipper,dCi,manual,2 door,RWD,,,,,107kW,
1938,RENAULT,Master,DC CF,chassis cab,Blue dCi,manual,4 dr,RWD,,,,,,
1939,RENAULT,Master,GCf,panel van,dCi,manual,4 dr,FWD,,,,,,
1940,RENAULT,Master,GRAND CONFORT,panel van,diesel,automatic,4 dr,FWD,,,,,,
1941,RENAULT,Master,HUMBAUR FlexBox,parcel van,dCi,manual,3 doors,FWD,,,,,,
1942,RENAULT,Master,Z.E.,platform cab,electric,automatic,2 door,FWD,,BEV,,,,
1943,RENAULT,Mégane,R.S. Line,estate,Blue dCi,automatic,5 portes,FWD,,,,,,
1944,RENAULT,SCENIC,BUSINESS,mini MPV,DCI,manual,5 portes,FWD,1.7,,,,,
1945,RENAULT,SCENIC,SPORT EDITION2,mini MPV,DCI,automatic,5 portes,FWD,1.7,,,,110KW,
1946,RENAULT,Scénic,Black Edition,mini MPV,TCe,automatic,5 portes,FWD,,,,,,
1947,RENAULT,Scénic,Initiale Paris,mini MPV,unleaded,manual,5 portes,FWD,,,,,,
1948,RENAULT,TRAFIC,BUSINESS+,panel van,diesel,manual,4 dr,FWD,2.0,,,,,
1949,RENAULT,TRAFIC,INTENS,combi,DCI,automatic,5 portes,FWD,2.0,,,150,,
1950,RENAULT,TRAFIC,KOMFORT,panel van,DCI,automatic,4 dr,FWD,2.0,,,,,
1951,RENAULT,TRAFIC,PASSENGER,combi,DCI,manual,5 portes,FWD,1.6,,,,92KW,
1952,RENAULT,TRAFIC,START,panel van,diesel,manual,4 dr,FWD,2.0,,,,,
1953,RENAULT TRUCKS,MASTER,,panel van,diesel,manual,4 dr,FWD,2.3,,,,,
1954,RENAULT,TWIZY,INTENS,micro car,electric,automatic,,FWD,,BEV,,,,
1955,RENAULT,Trafic,Zen,combi,dCi,manual,4 dr,FWD,,,,,,
1956,RENAULT,Twingo,Techno,hatchback,electric,automatic,5 portes,RWD,,BEV,22KWh,,,
1957,RENAULT,Twingo,Intens,hatchback,TCe,manual,5 portes,RWD,,,,,,
1958,RENAULT,Twingo,La Parisienne,hatchback,unleaded,manual,5 portes,RWD,,,,,,
1959,RENAULT,Twingo,Limited,hatchback,unleaded,manual,5 portes,RWD,,,,,,
1960,RENAULT,ZOE,i Dynamique Nav,hatchback,electric,automatic,5 portes,FWD,,BEV,,,,
1961,RENAULT,ZOE,Intens,hatchback,electric,automatic,5 portes,FWD,,BEV,,,,
1962,RENAULT,ZOE,Signature Nav,hatchback,electric,automatic,5 portes,FWD,,BEV,,,,
1963,RENAULT,ZOE,ZEN,hatchback,electric,automatic,5 portes,FWD,,BEV,,,,
1964,,RIFTER,,,,,,,,,,,,
1965,,500,PLUS,,,,,,,BEV,,,,
1966,SEAT,ALHAMBRA,ADVANCE,MPV,TDI,manual,5 portes,FWD,2.0,,,,135KW,
1967,SEAT,ALHAMBRA,FR LINE,MPV,TDI,manual,5 portes,AWD,2.0,,,,130KW,
1968,SEAT,ALHAMBRA,STYLE,MPV,TSI,manual,5 portes,FWD,1.4,,,,,
1969,SEAT,ALHAMBRA,XCELLENCE,MPV,TDI,manual,5 portes,AWD,2.0,,,,110KW,
1970,SEAT,ARONA,FR GO,sports utility vehicle,TSI,manual,5 portes,FWD,1.5,,,,110KW,
1971,SEAT,ARONA,FR RED EDITION,sports utility vehicle,TSI,manual,5 portes,FWD,1.0,,,110PS,,
1972,SEAT,ARONA,FR,sports utility vehicle,TSI,automatic,5 portes,FWD,1.0,,,,81KW,
1973,SEAT,ARONA,REFERENCE XM EDITION,sports utility vehicle,TSI,manual,5 portes,FWD,1.0,,,,70KW,
1974,SEAT,ARONA,STYLE GO,sports utility vehicle,TDI,manual,5 portes,FWD,1.6,,,,70KW,
1975,SEAT,ARONA,XCELLENCE GO,sports utility vehicle,TSI,automatic,5 portes,FWD,1.0,,,,85KW,
1976,SEAT,ARONA,XCELLENCE,sports utility vehicle,TDI,manual,5 portes,FWD,1.6,,,,70KW,
1977,SEAT,ARONA,XPERIENCE XS,sports utility vehicle,TSI,automatic,5 portes,FWD,1.0,,,,81KW,
1978,SEAT,ATECA,FR BLACK EDIT,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,,,
1979,SEAT,ATECA,FR BLACK EDIT,sports utility vehicle,TSI,automatic,5 portes,FWD,1.5,,,,,
1980,SEAT,ATECA,FR SPORT,sports utility vehicle,TDI,manual,5 portes,AWD,2.0,,,,,
1981,SEAT,ATECA,FR,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,,,
1982,SEAT,ATECA,SE,sports utility vehicle,ECOTSI,manual,5 portes,FWD,1.4,,,,,
1983,SEAT,ATECA,STYLE GO L,sports utility vehicle,TSI,manual,5 portes,FWD,1.0,,,,81KW,
1984,SEAT,ATECA,STYLE XXL,sports utility vehicle,TDI,automatic,5 portes,FWD,2.0,,,,110KW,
1985,SEAT,ATECA,STYLE,sports utility vehicle,TDI,manual,5 portes,FWD,1.6,,,,85KW,
1986,SEAT,ATECA,STYLE,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,,110KW,
1987,SEAT,ATECA,XCELLENCE LUX,sports utility vehicle,TDI,automatic,5 portes,FWD,1.6,,,,,
1988,SEAT,ATECA,XPERIENCE,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,115PS,,
1989,SEAT,Arona,Beats,sports utility vehicle,TDI,manual,5 portes,FWD,1.6,,,,70kW,
1990,SEAT,Arona,FR Sport,sports utility vehicle,TSI,manual,5 portes,FWD,1.0,,,110PS,,
1991,SEAT,Arona,FR Sport,sports utility vehicle,TSI,manual,5 portes,FWD,1.0,,,115PS,,
1992,SEAT,Arona,SE Technology Lux,sports utility vehicle,TDI,manual,5 portes,FWD,1.6,,,115PS,,
1993,SEAT,Arona,SE Technology,sports utility vehicle,TDI,manual,5 portes,FWD,1.6,,,95PS,,
1994,SEAT,Arona,Style XM Editio,sports utility vehicle,TSI,automatic,5 portes,FWD,1.0,,,110CV,81kW,
1995,SEAT,Arona,Xcellence Go,sports utility vehicle,TSI,manual,5 portes,FWD,1.0,,,,85kW,
1996,SEAT,Arona,Xperience Plus,sports utility vehicle,TGI,manual,5 portes,FWD,1.0,,,90CV,66kW,
1997,SEAT,Ateca,FR Sport,sports utility vehicle,TDI,automatic,5 portes,AWD,2.0,,,190PS,,
1998,SEAT,Ateca,FR,sports utility vehicle,TDI,manual,5 portes,AWD,2.0,,,,110kW,
1999,SEAT,Ateca,SE Dynamic,sports utility vehicle,TDI,manual,5 portes,FWD,1.6,,,115PS,,
2000,SEAT,Ateca,XCELLENCE,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,150PS,,
2001,SEAT,Ateca,XCELLENCE,sports utility vehicle,TSI,manual,5 portes,AWD,1.5,,,150PS,,
2002,SEAT,Ateca,XCELLENCE,sports utility vehicle,TSI,manual,5 portes,AWD,2.0,,,190PS,,
2003,SEAT,Ateca,XCELLENCE Lux,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,150PS,,
2004,SEAT,IBIZA,BEATS,hatchback,TDI,manual,5 portes,FWD,1.6,,,,70KW,
2005,SEAT,IBIZA,FR PRO BLACK EDITION,hatchback,TSI,automatic,5 portes,FWD,1.0,,,,81KW,
2006,SEAT,IBIZA,FR XL,hatchback,TSI,automatic,5 portes,FWD,1.5,,,,,
2007,SEAT,IBIZA,FR XM EDITION,hatchback,TGI,manual,5 portes,FWD,1.0,,,,,
2008,SEAT,IBIZA,FR,hatchback,TDI,manual,5 portes,FWD,1.6,,,,85KW,
2009,SEAT,IBIZA,SE TECHNOLOGY,hatchback,MPI,manual,5 portes,FWD,1.0,,,80PS,,
2010,SEAT,IBIZA,STYLE GO,hatchback,MPI,manual,5 portes,FWD,1.0,,,,59KW,
2011,SEAT,IBIZA,STYLE,hatchback,TDI,manual,5 portes,FWD,1.6,,,115,,
2012,SEAT,IBIZA,STYLE,hatchback,TSI,manual,5 portes,FWD,1.0,,,,70KW,
2013,SEAT,IBIZA,XCELLENCE,hatchback,TDI,manual,5 portes,FWD,1.6,,,,59KW,
2014,SEAT,IBIZA,XCELLENCE,hatchback,TSI,automatic,5 portes,FWD,1.0,,,110PS,,
2015,SEAT,Ibiza,Carbon Edition,hatchback,TSI,automatic,5 portes,FWD,1.5,,,,110kW,
2016,SEAT,Ibiza,FR Plus,hatchback,TSI,automatic,5 portes,FWD,1.0,,,110CV,81kW,
2017,SEAT,Ibiza,FR XL,hatchback,TSI,manual,5 portes,FWD,1.0,,,110CV,81kW,
2018,SEAT,Ibiza,SE,hatchback,MPI,manual,5 portes,FWD,1.0,,,80PS,,
2019,SEAT,Ibiza,Style XM Edition,hatchback,TSI,manual,5 portes,FWD,1.0,,,110CV,81kW,
2020,SEAT,Ibiza,Xcellence,hatchback,TSI,manual,5 portes,FWD,1.0,,,115CV,85kW,
2021,SEAT,LEON,BLACK EDITION,hatchback,TDI,manual,5 portes,FWD,2.0,,,,110KW,
2022,SEAT,LEON,FR FAST EDITION PLUS,hatchback,TSI,manual,5 portes,FWD,1.5,,,,110KW,
2023,SEAT,LEON,FR LAUNCH PACK L,hatchback,TDI,manual,5 portes,FWD,2.0,,,,110KW,
2024,SEAT,LEON,FR PLUS,SPORTSTOURER,TDI,manual,5 portes,FWD,2.0,,,,85KW,
2025,SEAT,LEON,FR TITANIUM TECHNOL,hatchback,TDI,manual,3 doors,FWD,2.0,,,184PS,,
2026,SEAT,LEON,FR TITANIUM TECHNOLOGY,hatchback,TDI,manual,3 doors,FWD,2.0,,,,,
2027,SEAT,LEON,FR TITANIUM TECHNOLOGY,hatchback,TSI,manual,3 doors,FWD,1.4,,,125PS,,
2028,SEAT,LEON,FR XM,hatchback,TDI,manual,5 portes,FWD,2.0,,,,110KW,
2029,SEAT,LEON,FR XS,estate,TDI,automatic,5 portes,FWD,2.0,,,,110KW,
2030,SEAT,LEON,FR,estate,TGI,manual,5 portes,FWD,1.5,,,,96KW,
2031,SEAT,LEON,FR,estate,TSI,manual,5 portes,FWD,1.5,,,,96KW,
2032,SEAT,LEON,FR,hatchback,TDI,manual,5 portes,FWD,2.0,,,,,
2033,SEAT,LEON,FR,hatchback,electric,automatic,5 portes,FWD,1.4,PHEV,,,,
2034,SEAT,LEON,FR,hatchback,TGI,automatic,5 portes,FWD,1.5,,,,96KW,
2035,SEAT,LEON,REFERENCE GO,estate,TSI,manual,5 portes,FWD,1.0,,,,81KW,
2036,SEAT,LEON,SE DYNAMIC,estate,TDI,manual,5 portes,FWD,1.6,,,,,
2037,SEAT,LEON,STYLE XL,estate,TDI,manual,5 portes,FWD,2.0,,,,85KW,
2038,SEAT,LEON,STYLE,estate,TSI,manual,5 portes,FWD,1.5,,,,96KW,
2039,SEAT,LEON,STYLE,hatchback,TDI,manual,5 portes,FWD,2.0,,,,110KW,
2040,SEAT,LEON,STYLE,hatchback,TGI,manual,5 portes,FWD,1.5,,,,96KW,
2041,SEAT,LEON,XCEL LAUNCH PACK L,hatchback,TDI,manual,5 portes,FWD,2.0,,,,110KW,
2042,SEAT,LEON,XCELLENCE,estate,TSI,manual,5 portes,FWD,1.5,,,,,
2043,SEAT,LEON,XCELLENCE,hatchback,TSI,automatic,5 portes,FWD,2.0,,,,,
2044,SEAT,Leon,FR,,TSI,,,,1.5,,,150 PS,110 kW,
2045,SEAT,Leon,FR Black Edition,estate,TDI,manual,5 portes,FWD,2.0,,,150PS,,
2046,SEAT,Leon,FR Sport,estate,TDI,manual,5 portes,FWD,2.0,,,150PS,,
2047,SEAT,Leon,SE Dynamic,hatchback,TDI,manual,5 portes,FWD,1.6,,,115PS,,
2048,SEAT,Leon,SE Dynamic,hatchback,TDI,manual,5 portes,FWD,2.0,,,150PS,,
2049,SEAT,Leon,SE,estate,TDI,manual,5 portes,FWD,2.0,,,115PS,,
2050,SEAT,Leon,SE,estate,eTSI,manual,5 portes,FWD,1.0,HEV,,110PS,,
2051,SEAT,Leon,XCELLENCE Lux,hatchback,TSI,manual,5 portes,FWD,1.5,,,130PS,,
2052,SEAT,Leon,Xcellence,hatchback,TGI,manual,5 portes,FWD,1.5,,,,96kW,
2053,SEAT,Leon,XCELLENCE,hatchback,TSI,manual,5 portes,FWD,1.5,,,150PS,,
2054,SEAT,León,Xcellence Ed,estate,TGI,manual,5 portes,FWD,1.5,,,,96kW,
2055,SEAT,MII,PLUS,hatchback,ELECTRIC,automatic,5 portes,FWD,,BEV,,83CH,,
2056,SEAT,León,Xcellence Go M,estate,TGI,automatic,5 portes,FWD,1.5,,,,96kW,
2057,SEAT,Ibiza,BUSINESS,hatchback,TGI,manual,5 portes,FWD,1.0,,,,66KW,
2058,SEAT,TARRACO,FR,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,,,
2059,SEAT,TARRACO,FR,sports utility vehicle,TSI,automatic,5 portes,FWD,1.5,,,,,
2060,SEAT,TARRACO,URBAN,sports utility vehicle,TSI,manual,5 portes,FWD,1.5,,,,,
2061,SEAT,TARRACO,X-PERIENCE XM,sports utility vehicle,TSI,manual,5 portes,FWD,1.5,,,,110KW,
2062,SEAT,TOLEDO,XCELLENCE,hatchback,TDI,manual,5 portes,FWD,1.6,,,115PS,,
2063,SEAT,Tarraco,FR GO,sports utility vehicle,TDI,manual,5 portes,AWD,2.0,,,,140kW,
2064,SEAT,Tarraco,FR,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,150PS,,
2065,SEAT,Tarraco,SE Technology,sports utility vehicle,TDI,automatic,5 portes,AWD,2.0,,,150P,,
2066,SEAT,Tarraco,Style,sports utility vehicle,TSI,manual,5 portes,FWD,1.5,,,150CV,110kW,
2067,SEAT,Tarraco,X-perience XL,sports utility vehicle,TSI,automatic,5 portes,AWD,2.0,,,,140kW,
2068,SEAT,Tarraco,Xperience,sports utility vehicle,TDI,automatic,5 portes,FWD,2.0,,,150ch,,
2069,SEAT,Tarraco,Xperience,sports utility vehicle,TSI,automatic,5 portes,AWD,2.0,,,,180kW,
2070,BMW,SERIE 2,,Gran Tourer,,,,,,,,109 ch,,216i
2071,SKODA,CITIGO,ACTIVE,hatchback,CNG,manual,3 doors,FWD,1.0,,,,50KW,
2072,SKODA,CITIGO,ACTIVE,hatchback,unleaded,manual,5 portes,FWD,1.0,,,,55KW,
2073,SKODA,CITIGO,AMBITION,hatchback,unleaded,manual,3 doors,FWD,1.0,,,,44KW,
2074,SKODA,CITIGO,STYLE,hatchback,unleaded,manual,5 portes,FWD,1.0,,,,55 KW,
2075,SKODA,CITIGO,STYLE,hatchback,unleaded,manual,5 portes,FWD,1.0,,,,55KW,
2076,SKODA,FABIA,ACTIVE,hatchback,MPI,manual,5 portes,FWD,1.0,,,,,
2077,SKODA,FABIA,AMBITION,estate,TSI,automatic,5 portes,FWD,1.0,,,,70KW,
2078,SKODA,FABIA,COOL PLUS,hatchback,TSI,manual,5 portes,FWD,1.0,,,,70KW,
2079,SKODA,FABIA,LIKE,estate,TSI,manual,5 portes,FWD,1.0,,,,81KW,
2080,SKODA,FABIA,MONTE CARLO,estate,TDI,manual,5 portes,FWD,1.4,,,105PS,,
2081,SKODA,FABIA,MONTE CARLO,hatchback,TSI,automatic,5 portes,FWD,1.0,,,,81KW,
2082,SKODA,FABIA,MONTE CARLO,hatchback,TSI,automatic,5 portes,FWD,1.0,,,95PS,,
2083,SKODA,FABIA,SE COMFORT,hatchback,TSI,manual,5 portes,FWD,1.0,,,110PS,,
2084,SKODA,FABIA,SE DRIVE,estate,TSI,manual,5 portes,FWD,1.0,,,95PS,,
2085,SKODA,FABIA,TOUR,hatchback,TSI,automatic,5 portes,FWD,1.0,,,,81KW,
2086,SKODA,Fabia,Ambition,estate,TSI,manual,5 portes,FWD,1.0l,,,,81kW,
2087,SKODA,Fabia,AMBITION,hatchback,TSI,automatic,5 portes,FWD,1.5l,,,,110kW,
2088,SKODA,Fabia,Emotion,hatchback,TSI,manual,5 portes,FWD,1.0,,,95CV,70KW,
2089,SKODA,Fabia,Emotion,hatchback,TSI,automatic,5 portes,FWD,1.0,,,110CV,81KW,
2090,SKODA,Fabia,S,hatchback,TDI,manual,5 portes,FWD,1.4,,,75PS,,
2091,SKODA,Fabia,SE L,hatchback,TDI,manual,5 portes,FWD,1.4,,,105PS,,
2092,SKODA,KAMIQ,MONTE CARLO,sports utility vehicle,TSI,manual,5 portes,FWD,1.0,,,,81KW,
2093,SKODA,KAMIQ,SE L EXECUTIVE,sports utility vehicle,TSI,automatic,5 portes,FWD,1.0,,,110PS,,
2094,SKODA,KAMIQ,SE L,sports utility vehicle,TSI,automatic,5 portes,FWD,1.0,,,110PS,,
2095,SKODA,KAMIQ,SE L,sports utility vehicle,TSI,automatic,5 portes,FWD,1.5,,,150PS,,
2096,SKODA,KAMIQ,STYLE,sports utility vehicle,G-TEC,manual,5 portes,FWD,1.0,,,,66KW,
2097,SKODA,KAMIQ,STYLE,sports utility vehicle,TSI,automatic,5 portes,FWD,1.0,,,,85KW,
2098,SKODA,KAROQ,125 ANIVERSARIO,sports utility vehicle,TSI,manual,5 portes,FWD,1.5,,,,,
2099,SKODA,KAROQ,AMBITION,sports utility vehicle,TSI,manual,5 portes,AWD,1.5,,,,,
2100,SKODA,KAROQ,BUSINESS,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,,,
2101,SKODA,KAROQ,EDITION,sports utility vehicle,TDI,automatic,5 portes,AWD,2.0,,,150PS,,
2102,SKODA,KAROQ,EDITION,sports utility vehicle,TSI,manual,5 portes,FWD,1.5,,,,,
2103,SKODA,KAROQ,SCOUT,sports utility vehicle,TDI,manual,5 portes,AWD,2.0,,,,110KW,
2104,SKODA,KAROQ,SE,sports utility vehicle,TDI,manual,5 portes,AWD,2.0,,,150PS,,
2105,SKODA,KAROQ,STYLE,sports utility vehicle,TDI,automatic,5 portes,AWD,2.0,,,,,
2106,SKODA,KAROQ,STYLE,sports utility vehicle,TDI,manual,5 portes,AWD,2.0,,,,,
2107,SKODA,KAROQ,STYLE,sports utility vehicle,TDI,automatic,5 portes,AWD,2.0,,,,,
2108,SKODA,KAROQ,STYLE,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,,,
2109,SKODA,KAROQ,STYLE,sports utility vehicle,TSI,manual,5 portes,FWD,1.0,,,,,
2110,SKODA,KODIAQ,AMBITION,sports utility vehicle,TSI,automatic,5 portes,FWD,1.5,,,150,,
2111,SKODA,KODIAQ,AMBITION,sports utility vehicle,TSI,manual,5 portes,FWD,1.5,,,,,
2112,SKODA,KODIAQ,DRIVE 125,sports utility vehicle,TSI,manual,5 portes,FWD,1.5,,,,,
2113,SKODA,KODIAQ,EDITION,sports utility vehicle,TSI,manual,5 portes,AWD,1.5,,,150PS,,
2114,SKODA,KODIAQ,L&K,sports utility vehicle,TDI,manual,5 portes,AWD,2.0,,,,110KW,
2115,SKODA,KODIAQ,SCOUT,sports utility vehicle,TDI,automatic,5 portes,AWD,2.0,,,,,
2116,SKODA,Kamiq,Business,sports utility vehicle,TSI,automatic,5 portes,FWD,1.0,,,116ch,,
2117,SKODA,Kamiq,TOUR,sports utility vehicle,TSI,manual,5 portes,FWD,1.0l,,,,70kW,
2118,SKODA,Karoq,Ambition,sports utility vehicle,TDI,automatic,5 portes,FWD,1.6,,,116ch,,
2119,SKODA,Karoq,Ambition,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,116ch,,
2120,SKODA,Karoq,AMBITION,sports utility vehicle,TSI,automatic,5 portes,FWD,1.5l,,,,,
2121,SKODA,Karoq,Business,sports utility vehicle,TDI,manual,5 portes,AWD,2.0,,,190ch,,
2122,SKODA,Karoq,CLEVER,sports utility vehicle,TDI,automatic,5 portes,AWD,2.0l,,,,,
2123,SKODA,Karoq,Drive,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,116ch,,
2124,SKODA,Karoq,Edition,sports utility vehicle,TDI,manual,5 portes,AWD,2.0,,,150PS,,
2125,SKODA,Karoq,Scout,sports utility vehicle,TSI,manual,5 portes,AWD,1.5,,,150PS,,
2126,SKODA,Karoq,Style,sports utility vehicle,TDI,automatic,5 portes,FWD,2.0,,,116ch,,
2127,SKODA,Kodiaq,AMBITION,sports utility vehicle,TDI,manual,5 portes,AWD,2.0,,,,,
2128,SKODA,Kodiaq,Ambition,sports utility vehicle,TSI,manual,5 portes,FWD,1.5,,,150ch,,
2129,SKODA,Kodiaq,L&K,sports utility vehicle,TDI,manual,5 portes,AWD,2.0,,,,,
2130,SKODA,Kodiaq,LAURIN&KLEMENT,sports utility vehicle,TSI,automatic,5 portes,AWD,2.0,,,,140KW,
2131,SKODA,Kodiaq,RS,sports utility vehicle,TSI,automatic,5 portes,AWD,2.0,,,,180 KW,
2132,SKODA,Kodiaq,SE,sports utility vehicle,TSI,manual,5 portes,FWD,1.4,,,150PS,,
2133,SKODA,OCTAVIA,AMBITION,hatchback,TDI,automatic,5 portes,FWD,2.0,,,,,
2134,SKODA,OCTAVIA,AMBITION,hatchback,TSI,manual,5 portes,FWD,1.0,,,,81KW,
2135,SKODA,OCTAVIA,CLEVER,hatchback,TSI,manual,5 portes,FWD,1.0,,,,,
2136,SKODA,OCTAVIA,EXECUTIVE,estate,TSI,automatic,5 portes,FWD,1.4,PHEV,,,,
2137,SKODA,OCTAVIA,EXECUTIVE,hatchback,TDI,manual,5 portes,FWD,2.0,,,,,
2138,SKODA,OCTAVIA,SCOUT,estate,unleaded,automatic,5 portes,FWD,1.5,MHEV,,,,
2139,SKODA,OCTAVIA,SE TECHNOLOGY,hatchback,TSI,manual,5 portes,FWD,1.0,,,115PS,,
2140,SKODA,OCTAVIA,SE,hatchback,TDI,manual,5 portes,FWD,1.6,,,115PS,,
2141,SKODA,OCTAVIA,SE,hatchback,TSI,automatic,5 portes,FWD,1.0,MHEV,,110PS,,
2142,SKODA,OCTAVIA,SOLEIL,hatchback,TDI,manual,5 portes,FWD,2.0,,,,,
2143,SKODA,OCTAVIA,SPORTLINE,estate,TDI,manual,5 portes,FWD,2.0,,,150PS,,
2144,SKODA,OCTAVIA,SPORTLINE,estate,TSI,automatic,5 portes,FWD,1.4,PHEV,,,,
2145,SKODA,OCTAVIA,SPORTLINE,hatchback,TSI,manual,5 portes,FWD,1.5,,,,,
2146,SKODA,OCTAVIA,STYLE,estate,TDI,manual,5 portes,FWD,2.0,,,,110KW,
2147,SKODA,OCTAVIA,STYLE,estate,TDI,manual,5 portes,FWD,2.0,,,,,
2148,SKODA,Octavia,Ambition Plus,Combi,TDI,automatic,5 portes,FWD,2.0,,,,110kW,
2149,SKODA,Octavia,Ambition Plus,hatchback,TSI,automatic,5 portes,FWD,1.0,MHEV,,,81kW,
2150,SKODA,Octavia,Ambition,hatchback,TSI,automatic,5 portes,FWD,1.0,MHEV,,,,
2151,SKODA,Octavia,L&K,Combi,TDI,manual,5 portes,FWD,2.0,,,150CV,110KW,
2152,SKODA,Octavia,Like,hatchback,TDI,manual,5 portes,FWD,1.6,,,115CV,85KW,
2153,SKODA,Octavia,SE First Edition,estate,TDI,manual,5 portes,FWD,2.0,,,115PS,,
2154,SKODA,Octavia,SE,estate,TSI,manual,5 portes,FWD,1.0,,,110PS,,
2155,SKODA,Octavia,STYLE,hatchback,TSI,manual,5 portes,FWD,1.5,,,,,
2156,SKODA,Octavia,SPORTLINE,estate,TSI,automatic,5 portes,FWD,1.4,PHEV,,,,
2157,SKODA,RAPID,ACTIVE,hatchback,TSI,manual,5 portes,FWD,1.0,,,,,
2158,SKODA,RAPID,BLACK PACK,SPACEBACK,TSI,manual,5 portes,FWD,1.0,,,,70KW,
2159,SKODA,RAPID,SE,hatchback,TSI,manual,5 portes,FWD,1.0,,,110PS,,
2160,SKODA,SCALA,ACTIVE,hatchback,TDI,manual,5 portes,FWD,1.6,,,,,
2161,SKODA,SCALA,ACTIVE,hatchback,TSI,manual,5 portes,FWD,1.0,,,,81KW,
2162,SKODA,SCALA,MONTE CARLO,hatchback,TDI,automatic,5 portes,FWD,1.6,,,,,
2163,SKODA,SCALA,MONTE CARLO,hatchback,TDI,manual,5 portes,FWD,1.6,,,,,
2164,SKODA,SCALA,MONTE CARLO,hatchback,TSI,automatic,5 portes,FWD,1.0,,,,85KW,
2165,SKODA,SCALA,SE,hatchback,TSI,manual,5 portes,FWD,1.0,,,115PS,,
2166,SKODA,SCALA,SPORT PLUS,hatchback,TSI,manual,5 portes,FWD,1.0,,,,81KW,
2167,SKODA,SCALA,STYLE,hatchback,TDI,manual,5 portes,FWD,1.6,,,116,,
2168,SKODA,SUPERB,AMBITION,estate,TDI,automatic,5 portes,FWD,2.0,,,,90KW,
2169,SKODA,SUPERB,AMBITION,hatchback,TDI,manual,5 portes,FWD,1.6,,,,88KW,
2170,SKODA,SUPERB,EXECUTIVE,hatchback,TDI,manual,5 portes,FWD,1.6,,,,88KW,
2171,SKODA,SUPERB,L&K,hatchback,TSI,manual,5 portes,FWD,1.5,,,,110KW,
2172,SKODA,SUPERB,L&K,hatchback,TSI,manual,5 portes,FWD,1.5,,,,,
2173,SKODA,SUPERB,LAURIN & KLEMENT,estate,TSI,automatic,5 portes,AWD,2.0,,,272PS,,
2174,SKODA,SUPERB,SCOUT,estate,TDI,manual,5 portes,AWD,2.0,,,,140KW,
2175,SKODA,SUPERB,SE L EXECUTIVE,hatchback,TDI,manual,5 portes,FWD,2.0,,,190PS,,
2176,SKODA,SUPERB,SPORTLINE PLUS,estate,TSI,manual,5 portes,FWD,1.4,,,150PS,,
2177,SKODA,SUPERB,SPORTLINE PLUS,hatchback,TDI,manual,5 portes,AWD,2.0,,,,140KW,
2178,SKODA,SUPERB,SPORTLINE,COMBI,TDI,manual,5 portes,FWD,2.0,,,,,
2179,SKODA,SUPERB,SPORTLINE,hatchback,TDI,manual,5 portes,FWD,2.0,,,190PS,,
2180,SKODA,SUPERB,SPORTLINE,hatchback,TSI,manual,5 portes,FWD,2.0,,,,140KW,
2181,SKODA,SUPERB,SPORTLINE,hatchback,TSI,manual,5 portes,AWD,2.0,,,272PS,,
2182,SKODA,Scala,Emotion,hatchback,TSI,manual,5 portes,FWD,1.0,,,110 CV,81KW,
2183,SKODA,Scala,Monte-Carlo,hatchback,TSI,automatic,5 portes,FWD,1.0,,,116ch,,
